ايالاتمتحده :  ايالات متحده  
چندشركتهواپيماييبزرگجهانبرايكاهشهزينههايخودبهجايصدوربليتبهزوديبليتهايالكترونيكيصادرخواهندكرد :  خطا 
منابعرسميدردمشقگفتنديكهياتنظاميعربستانسعوديباژنرالمصطفيطلاسوزيردفاعسوريهدردمشقديداروگفتگوكرد :  خطا 
بهگزارشاينترفاكسنيروهايارتشروسيهدراينحملهدومقرپرتابخمپارهويكفرستندهراديوييرزمندگانرانابودكردند :  خطا 
خبرنگارهمشهريپلجديدبادوباندسوارهروودوباندپيادهروازسويشهردارياراكبررويرودخانهداخلشهراراكساختهشد :  خطا 
ريوتاروهاشيموتونخستوزيرژاپنبهخاطراقداماتبيرحمانهارتشاينكشوردردورانجنگازمردمكرهجنوبيعذرخواهيكرد :  خطا 
ايننمايشگاهتاتاريخهفتمتيرادامهداردكهدرمراسماختتاميهجوايزبرندگانسوميندورهمسابقهعكاسينيزاهداميشود :  خطا 
يكدستهمردنقابدارمسلحديشببهرستورانيدرشهرمدلينكلمبياحملهكردندوبامسلسلمشتريانرستورانرابهرگباربستند :  خطا 
مطالعهايمقدماتيپيراموننقشبازيدرزندگياجتماعيوساماندهيگردشگاههاحركتوشلوغكردنجلوهايازلذتكودكانهاست :  خطا 
بهگزارشفرانسپرسكينكلهمچنينازحقبوندستاكمجلسسفليپارلماندرتصويبلايحهايدربارهنقضحقوقبشردرتبتدفاعكرد :  خطا 
درپايانسومينمرحلهازرقابتهايدووميدانيليگباشگاههايايرانكهروزجمعهگذشتهدرورزشگاهملكنياسنندجبرگزارشد :  خطا 
بهگزارشخبرنگارهمشهريبيستنفرازبيستوپنجنفرنمايندگانايناستاننامهمربوطبهپرسشازوزيركشورراامضاكردهاند :  خطا 
مخالفانبحرينيدرخارجديروزاحكامصادرهازسويدادگاهامنيتيبحرينرادربارههشتنفرازشيعياناينكشورمحكومكردند :  خطا 
علاقمندانجهتثبتنامازسراسركشورميتوانندبادارابودنمدركممتازازانجمنخوشنويسانايراندراينكلاسهاشركتكنند :  خطا 
جشنوارهفرهنگيهنريورزشيگلريزانهمزمانباهفتهحمايتازبيمارانهموفيليازاولتاهفتممرداددرتهرانبرگزارميشود :  جشنواره فرهنگيهنري ورزشي گلريزان همزمان باهفته حمايت ازبيماران هموفيليا زاولت اه فت ممر داددر تهرانب رگ زارم يش ود  
مهندسمحمدحقانيمعاوناموراجتماعيوفرهنگيومشاوراجراييشهردارتهرانروزسهشنبهدرگفتوگوباخبرنگاراناعلامكرد :  خطا 
خاكعميقوحاصلخيزكهخيليخشكنگهداشتهنشودبرايمرتبكردنفرمگياهتعداديازشاخههايمسنراپسازپايانگلدهيحذفكنيد :  خطا 
امابعداجلسهايراكهقراربوددركرملينتشكيلشودبهبعدموكولكردترديدنسبتبهسلامتاورادرجامعهروسيهبيشتركردهاست :  خطا 
نوشابهاميريوتهماسبصلحجودومنتقدسينماييهستندكهامشبفيلمضيافتكيمياييرابرايشنوندگانراديوتهراننقدميكنند :  خطا 
برنامهريزينشدهوازپيشاعلامنشدهبراياكثريتمردميكجامعهدرعرصههايگوناگونكهباهدايتوحمايتدولتپديدارميشوند :  خطا 
تخريبونوسازيساختمانهايكهنهدرمحلههايقديميمستلزمرعايتاصولايمنيبيشترينسبتبهاحداثبنادرمناطقنووجديداست :  خطا 
كانونادبيشهرسالمتشكيلشدستادشهرسالمبرايگسترشفرهنگعموميدرجهتهدفهايفرهنگياينستادكانونادبيتشكيلدادهاست :  خطا 
باوجوديكهسازمانپستبارهامدعيشدهكهكتابهايدرخواستيازطريقفهرستگويابهفاصلهيكتادوهفتهبرايمتقاضيارسالميشود :  خطا 
قاچاقومصرفموادافيونيدرسراسرجهانگسترشيافتهوحتيبهجوامعوبهكشورهاييكهتصورميرفتازگزندموادمخدردرامانهستند :  خطا 
كاراحداثيكپاركجديددرمحلهزمزمنبشكوچهباغويكپاركجديدديگرجنبزيرگذرگلچينازسويشهرداريمنطقهبهپايانرسيدهاست :  خطا 
سيدنصراللهسجاديدبيركلكميتهمليالمپيكايرانروزگذشتهدريكمصاحبهمطبوعاتيوراديوتلويزيونيبااعلاممطالبفوقگفت :  خطا 
اينشركتدرنظردارددرمرحلهنخستسيخانهپلاستيكيدريكيازجزايركوچكنزديكانگليسبااستفادهازمصالحبازيافتشدهبناكند :  خطا 
انگليسخواهانروابطبهترباايراناستوبهترينرويهدرقبالتهرانراادامهمذاكراتمنتقدانهاتحاديهاروپاباايرانميداند :  خطا 
علاقمندانبهفراگيريايندورهميتوانندجهتثبتنامتاچهاردهمتيرماهبهمحلاينخانهفرهنگبهنشانيميدانحرمراجعهنمايند :  علاقمندان بهفر اگير يايند وره ميتوانند جهت ثبت نامت اچه ارده متي رماه بهم حلا ين خانه فرهنگ بهن شانيم يدان حرمراجعه نماد  
مالكومريفكيندوزيرخارجهانگليسديروزواردعربستانشدتامشكلاتيراكهدرپياجازهاقامتيكيازمخالفاندولتسعوديدرلندن :  خطا 
هياتيمتشكلازنمايندگانمجلسوبازرگانانايتاليابهمنظوربررسيراههايتقويتروابطدوجانبهباعراقدربغدادبهسرميبرند :  خطا 
ستادبرگزاريجشنوارهبزرگفرهنگيهنريورزشيگلريزانهمزمانباهفتهحمايتازبيمارانهموفيليازروابطعموميهمهسازمانها :  ستادبرگزاري جشنواره بزرگ فرهنگيهنري ورزشي گلريزان همزمان باهفته حمايت ازبيماران هموفيليا زرو ابط عموميه مهسا زمانها  
وزارتخارجهژاپنگزارشهايمبتنيبرتمايلتوكيوبهمذاكرهباكرهشماليرابرايعاديسازيمناسباتديپلماتيكدوكشورتكذيبكرد :  خطا 
ايندورهكهبرايترمتابستانيدرنظرگرفتهشدهتحتنظركارشناسانبهداشتدرمانيدانشگاهعلومپزشكيتهرانانجامخواهدپذيرفت :  خطا 
خليلصالحيمديرباشگاهبرقشيرازبهدليلاهانتوتوهينبهبرگزاركنندگانمسابقهسهماهازهمراهيتيمخوددركليهسطوحمحرومشد :  خطا 
درپيفراردخترودوتنازبستگانژنرالمحمداوفقيروزيردفاعپيشينكشورمغربكهدرپييككودتايضدشاهحسندومدرزندانخودكشيكرد :  خطا 
كسانيكهنظامكاركردميدانهايميوهوترهبارتهرانرابررسيكردهاندمعتقدندنبضنوساناتعرضهوتقاضايميوهوترهباردرسطحكشور :  خطا 
محمدخانضمنتشريحوضعيتوبرنامهتوسعهاقتصاديجمهورياسلاميايرانباتوجهبهپيشرفتهاياقتصاديوفنيكشوردرزمينههايمختلف :  خطا 
هفتهحمايتازبيمارانهموفيليازسويكانونهموفيليهايايرانباهمكارينهادهايمختلفازجملهادارهفرهنگوارشاداسلاميتهران :  خطا 
درهمينحالگلبدينحكمتيارنخستوزيرافغانستانواحمدشاهمسعودفرماندهكلنيروهايدولتاينكشوربايكديگرديداروگفتگوكردند :  خطا 
درجلسهديروزهياتوزيراناختصاصدوميلياردريالبرايشورايعاليجوانانجهتهزينهدرطرحهايتحقيقاتيومطالعاتيكاربرديونظري :  خطا 
بهمنظوربزرگداشتمقاموالايشهيدانمظلومفاجعههفتمتيرازامروزبهمدتسهشبمراسمويژهايدرقتلگاهاينشهيدانبرگزارخواهدشد :  بهمن ظور بزرگداشت مقام والايش هيدا نم ظلوم فاجعه هفتم تيراز امروزبه مدت سه شبمراسم ويژهاي درقتل گاها ينش نبرگ زار خواهدشد  
ويكهدرحاشيهبرپايينمايشگاهبزرگعلوموتكنولوژيروسيهدرشهرسنپطرزبورگدرمصاحبهايباخبرنگارواحدمركزيخبرشركتكردهبود :  خطا 
محمدرضاصبورازسويسيدمحمدغرضيوزيرپستوتلگرافوتلفنبهسمتمديركلروابطعموميوزارتپستوتلگرافوتلفنمنصوبومشغولبهكارشد :  خطا 
معاونارتباطاتوزارتامورخارجهدرديدارباوزيرفرهنگوارتباطاتبوركينافاسودرموردهمكاريهايفرهنگيوهنريدوكشورگفتگوكرد :  خطا 
درپايانرقابتهايدورششمتيمهايحملونقلپايانههايگيلانوفرهنگسرايبهمنبهترتيبدرردههايدهمويازدهماينمسابقاتقراردارند :  درپايان رقابتهاي دورششم تيمهاي حملو نقل پايانه هايگ يلان وفرهنگسراي بهمن بهتر تيب دررده هايده مويا زدهم اينم سابقا تقرا ردار ند  
بحرينديروزاعلامكردقطردراتخاذتصميمتازهخودمبنيبراجازهورودشهروندانبحرينيبهخاكخودبدونگذرنامهوتنهاباورقهشناسايي :  خطا 
اينبرنامهكهبهوسيلهگروهورزشوتفريحاتشبكهسراسريصدايجمهورياسلاميايرانتهيهميشوديكمينسالفعاليتخودراپشتسرگذاشتهاست :  خطا 
دومينجلسهشورايقيمتگذاريمراكزهمگانيخريدوفروشخودروسراسركشوربهمنظورتجديدنظردرقيمتپايهانواعخودرودراصفهانبرگزارشد :  خطا 
بهگزارشخبرگزاريفرانسهچيللراينمطلبرادرملاقاتباسفيراناتحاديهاروپاوكشورهايعضوناتووهمچنينسفيرانروسيهوژاپنبيانكرد :  خطا 
ديداررفتايندوتيمدرتاشكندوديداربرگشتدربغدادبرگزارخواهدشدتابرندهمجموعهايندوديداردردوردومبانمايندهايرانروبهروشود :  خطا 
عملياتتعريضدربخشيازخيابانهايشهركسيناصورتپذيرفتهوادامهتعريضمنوطبهتوافقوعقبنشينيمابقياملاكمجاوردرطرحتعريضميباشد :  خطا 
ويگفتاينطرحپوششوقايعحياتيكشوررابهروزخواهدرساندوتواناييبرنامهريزانوپژوهشگرانكشوررابرايتصميمگيريدرستافزايشميدهد :  خطا 
درپايانرقابتهايدورششمتيمهايحملونقلپايانههايگيلانوفرهنگسرايبهمنبهترتيبدرردههاييازدهمودوازدهماينمسابقاتقراردارند :  درپايان رقابتهاي دورششم تيمهاي حملو نقل پايانه هايگ يلان وفرهنگسراي بهمن بهتر تيب دررده هايي ازدهم ودوا ينم سابقا تقرا ردار ند  
دفترسازمانمللدرعراقديروزاعلامكرداصليترينمجتمعتوليدسلاحميكروبيعراقبهطوركاملبهوسيلهكارشناساناينسازمانمنهدمشدهاست :  خطا 
سوميناجلاسسهجانبههمكاريهاياقتصاديجمهورياسلاميايرانوجمهوريهايتركمنستانواوكراينباامضايسهسندهمكاريدرزمينههايبانكي :  خطا 
شيخحسينهواجدنخستوزيربنگلادششبگذشتهگفتصدهاتناززندانيانسياسيراكهبدونمحاكمهازسويدولتمليگراياندرزنداننگاهداريميشوند :  خطا 
دولتبرايصادراتخدماتفنيومهندسيتسهيلاتوضمانتهايبانكيفراهمميكندتاشركتهايمذكوردرمناقصههايبينالملليبهطورفعالمشاركتكنند :  خطا 
ممكناستبرخيدليلبياورنددربرخيازمناطقشهرياستخرهاپاسخگوينيازجمعيتنيستورفتنبهاطرافشهرنيزبرايبسياريازخانوادههاپرزحمتاست :  خطا 
اعضاجناحكمونيستدومابااحضارويكتورچرنوميرديننخستوزيرروسيهخواستارتوضيحويدربارهعزلونصبهاياخيردرميانمقاماتامنيتيخواهندشد :  خطا 
تاميناجتماعييكيازمهمترينابزارفقرستيزيوتحققعدالتاجتماعيدرجامعهاستوايجاداشتغالبرايمردميكيازمهمترينابزارمبارزهبافقراست :  خطا 
نمايندهدادستانكلكشورازدارندگانسلاحهايغيرمجازخواستتاروزبيستودوممردادسلاحهايخودراتحويلواحدهايانتظاميدادهورسيددريافتكنند :  خطا 
ديويدلويوزيرخارجهرژيمصهيونيستيديروزگفتقاهرهبايددربارهگزارشهايمربوطبهخريدقطعاتموشكهايزمينبهزميناسكادازكرهشماليتوضيحدهد :  خطا 
تيمجوانانايرانبهمرحلهنهاييرسيدوتيمداخلسالنبرايبازيهاينهاييوجهانيانتخابيشدوخبرهايخوشينيزدرارتباطباتيمنوجوانانبهگوشميرسد :  تيم جوانان ايران بهم رحله نهايي رسيدو داخل سالن براي بازيهاي وجهانيان تخ ابيش دوخبر هاي خوشين يزد رارت باط بانو به گوشم يرس د  
نخستمفهومديندرحوزهمطالعاتاجتماعيموردتوجهقراردادهشدهوسپسايننظرگاهبهعنوانيكيازحوزههايانديشهومطالعهدردورانجديدمعرفيگرديدهاست :  خطا 
بهگزارشخبرنگارانهمشهريازتهرانوسايرنقاطكشورمراسمسوگوارياربعينسالارشهيدانباشركتانبوهعزادارانحسينيدرمساجدوتكايايكشوربرگزارشد :  خطا 
علاقهمندانبراينامنويسيميتوانندتانهمتيربهورزشگاهمعلمواقعدرخيابانجانبازانشرقيگلبرگبعدازتقاطعدردشتخيابانشهيدحمزهلوييمراجعهكنند :  خطا 
ازسويفدراسيونبينالملليورزشدانشگاههاالكساندرمدويدكشتيگيرشهيرروسيهبهعنوانرياستكميتهفنيدوميندورهمسابقاتكشتيدانشجويانجهانمعرفيشد :  خطا 
شبشعريبهمناسبتگراميداشتيادشهدايهفتمتيرباعنوانراستقامتانجاودانهتاريخروزشنبهنهمتيردرتالارمحرابواقعدرخيابانامامخمينيبرگزارميشود :  شبشعري بهمن اسبت گراميداشتي اد شهداي هفتم تير باعنوان راست قامتان جاودانه تاريخ روزشنبه نهم درتالار محراب واقعد رخي ابانا مام خميني برگزارميشود  
عمريكصدسالهپديدهايبهنامفوتبالدرتمامجوامعثابتكردهاستكهجريانضدفرهنگيوضدارزشينيستوچهبسادردامنهگستردهخوددارايمعيارهاياخلاقينيزهست :  خطا 
تلويزيونروسيهبهنقلازمنابعنظاميگزارشدادژنرالوياچسلاوتيخوميرفازسمتخودبركنارشدهومعاونفرماندهمنطقهنظاميشمالقفقازبهجايويمنصوبشدهاست :  خطا 
اينروزهاروسيهبهحديبدوندروپيكرشدهاستكهحتيفرقهايكهدرژاپنبارهاساختنگازسميدرمتروتوكيوباعثمرگعدهايشددركشورمابرايخودبهتبليغپرداختهاست :  خطا 
اينديدارميبايستپنجماهقبلانجامميشدامابهدليلوقفههايمتواليدرفصلجديددوتيمتقريباباچهرهايتازهبرايكسبعنوانقهرمانيجامحذفيبهديدارهمميروند :  خطا 
همچنينبهمنظورگراميداشتيادوخاطرهشهيدمظلومدكتربهشتيويارانشازفردابهمدتسهشبپسازاقامهنمازمغربوعشامراسميدرقتلگاهسرچشمهتهرانبرگزارميشود :  خطا 
حضورليپنگنخستوزيرچيندركنگرههشتمحزبكمونيستويتنامازمهمترينرويدادهاياينكنگرهونشانهنزديكيهانويوپكناستكهتوجهتحليلگرانرابهخودجلبكردهاست :  خطا 
بهمنظورهمبستگيبامسلمانانبوسنياييبراينخستينبارنمايشگاهاختصاصيكالاهايتوليديايرانروزجمعههفتهجاريباحضورمقاماتايرانيدرسارايووافتتاحميشود :  خطا 
نمايندهسازمانمللمتحددراموربوسنيازشورايامنيتخواستبرايدستگيريجنايتكارانجنگيازجملهرادوانكارادزيچرهبرصربهايبوسنيازنيروهايناتواستفادهكند :  خطا 
نخستيندورهرقابتهايليگجوانانبرگزارميشوداينمسابقاتبهصورتاستانيودرسهمرحلهبرگزارخواهدشدتاجواناننيزدرتهرانوشهرستانهادارايمسابقاتيمنظمشوند :  نخستين دورهر قابت هايلي گج وانان برگزارميشود اينم سابقا تبه صورتا ستاني ودرسه مرحله برگزارخواهدشد تاج نيزدرتهران وشهرستانها داراي متيم نظمش وند  
قدردانيازجورجميلردراسترالياجورجميلرسازندهفيلمهاييهمچونبيبوسهگانهمكسديوانهبهعلتخدماتشبهفيلمسازيازسويمقاماتكشوراسترالياموردقدردانيقرارگرفت :  خطا 
ظفرسعيدافسخنگويرياستجمهوريتاجيكستانديروزاعلامكردنيروهايدولتيتاجيككنترلشهراستراتژيكطويلدرهراكهازارديبهشتگذشتهدردستمخالفاناسلامگرايمسلحبود :  خطا 
اردنازنتانياهوخواستروابطدوطرفراكماهميتجلوهدهدنيروهايارتشرژيمصهيونيستيديروزبهمركزفرهنگيحرمابراهيميدرشهرالخليلدركرانهباختريروداردنحملهكردند :  خطا 
پيشرفتهايجمهورياسلاميايراندرزمينهارتباطاتبسيارچشمگيراستوايرانيكيازكشورهايپيشتازدرميانشركتكنندگاندراجلاسوزيرانپستومخابراتكشورهايعضوكنفرانساسلامياست :  خطا 
انجمناسلاميدانشجوياندانشگاهعلومپزشكيشهيدبهشتيباصدوراطلاعيهايجنايتاخيررژيمتركيهدرحملههواييبهداخلخاكايرانوشهيدومجروحكردنتعداديازهموطنانمانرامحكومكردند :  خطا 
فرهنگيقلمتداركشدهاستكهدانشجوياندورهكارشناسيارشدودكترايرشتههايغيرزبانانگليسيودانشجويانرشتهزبانانگليسيدانشگاههايكشورميتوانندبرايشركتدراينكلاسهابهافسريه :  خطا 
بهگزارشخبرگزاريفرانسهازمسكولبدكهدرپينخستيندورانتخاباترياستجمهوريروسيهوقرارگرفتندرمقامسومبابوريسيلتسينمتحدشدهاستاينپيشنهادرادريكمصاحبهتلويزيونيعنوانكرد :  خطا 
دراينديدارپيروزيباوجودتهاجميظاهرشدنبهدليلناهماهنگيمردانميانيخودهمهگاهاسيرضدحملاتحسابشدهتيمبهمنبودوسرانجامدرديداراولخودتنبهتسليمدربرابرنايبقهرمانفصلپيشداد :  دراين ديدارپيروزي باوجود تهاجمي ظاهرشدن به دليل ناهماهنگي مردانم ياني خودهمه گاها سير ضدحملات حسابشده تيمم نبودو سرانجام درديدار اول خودتن تسليم دربرابر نايبقهرمان فصل پيشداد  
ارولچاكرجانشينوزيركشورتركيهدرراسيكهياتبلندپايهسياسيامنيتيوانتظاميبرايشركتدرسوميناجلاسكميسيونمشتركعاليامنيتيايرانوتركيهعصرديروزواردتهرانشدودريكنشستخبريگفت :  خطا 
دولتجمهورياسلاميايرانضمناعتراضبهتداومنقضحريمهواييايرانازسوينيروهايمتحدينعملكنندهدرعراقخواستارمداخلهپطروسغاليدبيركلسازمانمللبرايمتوقفساختناينتجاوزاتهواييشد :  خطا 
مديرادارهحفاظتمحيطزيستمهابادديروزبهخبرگزاريجمهورياسلاميگفتپرستوهايدرياييدرطولچهارماهاقامتدرجنوبدرياچهاروميهوباتلاقهايكمعمقاقدامبهتخمريزيولانهگذاريخواهندكرد :  خطا 
بهگزارشخبرنگارمابنيادبيماريهايخاصاعلامكرداينبيمارانباكارتدرمانبرايهزينههايدرمانيوبيمارستانيمبلغيپرداختنميكنندوتنهادهدرصدبهعنوانفرانشيزداروييپرداختخواهندكرد :  خطا 
اخيرامشاهدهجانورانخزندههمچونماردرمناطقمسكونيتهرانموجبنگرانيهاييشدهاستوتعداديازشهرونداندرتماسباروزنامههمشهريدربارهعلتپيدايشونيزافزايشخزندگاندرمناطقشهريميپرسند :  خطا 
برخوردفجروصنامقهرمانونايبقهرمانجامحذفيسالپيشوپيكانوجادهابريشمدوتيمدستهيكيفصلقبلازجملهبازيهايخوبامروزاستكهميتواندتاحدوديباعثانبساطخاطرتماشاگرانگريزانواليبالشود :  خطا 
دفترچهراهنمايانتخابرشتههايتحصيليمراكزتربيتمعلمنيزبهطريقيادشدهتوزيعخواهدشدوداوطلبانيكهمنحصراجزوپذيرفتهشدگانمرحلهاولمراكزتربيتمعلمهستندتنهابايدايندفترچهراتهيهكنند :  خطا 
سفيرايراندرسازمانمللدراجلاسويژهكميتهاقتصاديواجتماعيمجمععمومياينسازمانضمنتاكيدبراهميتنقشسازمانمللدرمبارزهباموادمخدرخواستارگسترشهمكاريهايبينالملليبرايمحواينمعضلشد :  خطا 
ديروزدرجلسهعلنيمجلسشوراياسلاميهنگامطرحبررسياعتبارنامهنمايندهرفسنجاندرجلسهعلنيمواردرداعتبارنامهويدركميسيونتحقيقمطرحنشدوحميدبهرامينيزدرسخنانخودبههيچموردياشارهنكرد :  خطا 
منابعنظاميپرواعلامكردندارتشاينكشوردستبهعملياتهواييوزمينيگستردهايعليهگروهيازچريكهايراهدرخشانزدهاستاينگروههفتهگذشتهچندشهركرادرمنطقههوالاگايعلياهدفحملاتخودقراردادند :  خطا 
بهگزارشروابطعموميفرهنگسرايارسبارانجشنوارهگلريزانبرايحمايتازبيمارانهموفيليبرگزارميشودوتماميهنرمندانعلاقمندميتوانندبههمراهديگرشهرونداندراينحركتانساندوستانهشركتكنند :  خطا 
گناديزيوگانفنامزدكمونيستهايروسيهكههشتروزديگردردوردومانتخاباترياستجمهورياينكشوربايلتسينروبروميشودديروزگفتكهاگرانتخابشودقدرتراميانسهنيرويموجوددرجامعهروسيهقسمتميكندكهعبارتنداز :  خطا 
بهگزارشخبرگزاريفرانسهازكلمبوزنيكهعاملاينانفجاربودموادمنفجرهرابهكمرخودبستهبودوروزپنجشنبهبهخانهنيمالسيريپالادوسيلواوزيرمسكنسريلانكاحملهكردوليكندوسيلواازاينحادثهجانسالمبهدربرد :  خطا 
روابطعموميشركتمسافرتيسيارهتوريستيدرپاسخمطلبمندرجدرستونتلفنبههمشهريتحتعنوانسفرزيانباربهامضايحسننراقيتوضيحدادهاستكهحضورمسافراندراينسفربهمقصدكشورپاكستاننهباهدفكنفرانسياسمينارعلمي :  خطا 
طرفدارانحزبمردمدرانتخاباتمحليكشميربهپيروزيرسيدندگزارشهاياوليهازبرگزاريانتخاباتدركشميرتحتكنترلپاكستانحاكياستكهحزبمردمبهرهبريخانمبوتودربسياريازحوزههايانتخابيهبررقبايخودپيروزشدهاست :  خطا 
بهگزارشخبرنگارماسيدمحمدغرضيوزيرپستوتلگرافوتلفندرگفتگوباخبرنگارانهمچنينگفتايناجلاسبرايبهرهگيريازظرفيتموجودفنيوتوليديدركشورهايعضوكنفرانساسلاميوكمكهايفنيبهخصوصدرزمينهپستبرگزارميشود :  خطا 
سرپرستوزارتخارجهافغانستانونمايندهدولتانگليسدربارهروابطدوكشورمذاكرهكردندوزارتامورخارجهافغانستانازپطرسغاليدبيركلسازمانمللخواستبااعمالتدابيرلازممانعتكرارجناياتگروهطالبانوكشتارمردمبيدفاعكابلشود :  خطا 
مقدارزياديازاينگوشتازراهايرلندوبهعنوانگوشتمحصولايرلندبهبسياريازكشورهايجهانصادرميشودكهعمليخطرناكوغيرانسانياستظاهراگوشتگاوانگليسيازاينكشوربهطورقاچاقبهايرلندوپسازبستهبنديبهكشورهايديگرصادرميشود :  خطا 
سخنگويوزارتامورخارجهديپلماسيسوريهبرايتقويتجبههمتحدعربياسلاميدربرابرسياستهايتوسعهطلبانهرژيمصهيونيستيراصادقانهخواندونحوهبرخوردمقاماتمصريبااينديپلماسيراتلاشيتاسفباردرجهتناكامكردنديپلماسيسوريهذكركرد :  خطا 
عرفاتبهزوديازدمشقديدارميكندقذافيباعرفاتووليعهدكويتدرقاهرهديداركردروزنامهنگارانرژيمصهيونيستيبراينخستينباراجازهيافتنددراجلاسسرانعربحضوريابندسرانعربديروزباصدوربيانيهايبهنشستدوروزهخوددرقاهرهپاياندادند :  خطا 
سميناربينالملليافغانستانوامنيتمنطقهروزگذشتهباتاكيدبرضرورتتوقفدرگيريهاينظاميازطريقمذاكرهميانگروههايافغانونيزمشاركتمستقيممردمافغانستاندرامورمختلفكشورباكمكهمسايگانوتلاشهايسازمانمللدرتهرانبهكارخودپايانداد :  خطا 
ايرانهموارهسياستاستمرارصلحوثباتوحسنهمجواريباكشورهايمنطقهرابهدورازدخالتوشيطنتهايبيگانگاندنبالكردهوخواستاراستمرارهمكاريهايدوستانهواسلاميبينكشورهايمنطقهوحفظتقويتثباتوامنيتبامشاركتكليهكشورهايهمسايهودوستاست :  خطا 
بهگزارشخبرنگارهمشهريدراينسميناركهبهمدتسهروزادامهخواهدداشتگروهيازشخصيتهايسياسيكشورهايمنطقهوكشورهايغربيبهمنظوردستيابيبهرهنمودهايديپلماتيكمشتركبهتحليلوبررسياوضاعافغانستانونقشبحراناينكشوردرامنيتمنطقهخواهندپرداخت :  خطا 
سميناربينالملليافغانستانوامنيتمنطقهكهباحضورنمايندگانگروههايجهاديافغانودستاندركارانامورافغانستاندرتهرانبرگزارشدهبوددرپايانباصدوربيانيهايضرورتدستيابيبهراهحليمشتركبهمنظورخاتمهدادنبهبحرانافغانستانراموردتاكيدقرارداد :  خطا 
بهگزارشخبرگزاريجمهورياسلاميازمسكوويروزچهارشنبهطيسخنانيدرجمعاستادانودانشجوياندانشگاهاسلاويچدرشهربيشككپايتختقرقيزستاناظهارداشتتوسعهروابطروسيهبااعضايجامعهكشورهايمستقلبرايايجادثباتاقتصاديازاهميتبسيارزياديبرخورداراست :  خطا 
دربازارشوشكودكانيكهتحتتاثيرجونامناسبحاكمبرميدانميوهشوشبودندبهكارهايينظيرپوستكندنپيازمشغولميشدندجلوگيريازتراكمفعاليتدريكنقطهمحدودازشهروبهداشتميادينوسلامتمحيطزيستدرنواحيمجاورازجملهموارديهستندكهدرايننمايشگاهبهتصويركشيدهشدهاند :  خطا 
درحالحاضردهكشوراسلاميعضواينشبكهاطلاعرسانيهستندوبهدليلتشابهاينطرحباپيشنهادجمهورياسلاميايراندرزمينهبزرگراههاياطلاعاتينمايندهكشورماندرخواستكردكهايندوطرحادغامشوندوبهعنوانيكطرحدردستوركاراجلاسوزرايارتباطاتومخابراتكشورهاياسلاميقرارگيرند :  خطا 
